effective_date,action,symbol,source
2020-08-03,base,BID,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,CTG,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,EIB,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,FPT,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,GAS,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,HDB,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,HPG,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,KDH,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,MBB,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,MSN,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,MWG,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,NVL,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,PLX,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,PNJ,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,POW,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,REE,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,ROS,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,SAB,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,SBT,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,SSI,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,STB,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,TCB,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,TCH,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,VCB,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,VHM,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,VIC,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,VJC,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,VNM,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,VPB,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2020-08-03,base,VRE,suy nguoc tu cac ky sau (ro hien tai tru nguoc cac thay doi)
2021-02-01,add,BVH,https://vietnambiz.vn/sab-eib-va-ros-roi-ro-vn30-bvh-pdr-va-tpb-duoc-them-moi-20210119192037877.htm
2021-02-01,add,PDR,https://vietnambiz.vn/sab-eib-va-ros-roi-ro-vn30-bvh-pdr-va-tpb-duoc-them-moi-20210119192037877.htm
2021-02-01,add,TPB,https://vietnambiz.vn/sab-eib-va-ros-roi-ro-vn30-bvh-pdr-va-tpb-duoc-them-moi-20210119192037877.htm
2021-02-01,remove,SAB,https://vietnambiz.vn/sab-eib-va-ros-roi-ro-vn30-bvh-pdr-va-tpb-duoc-them-moi-20210119192037877.htm
2021-02-01,remove,EIB,https://vietnambiz.vn/sab-eib-va-ros-roi-ro-vn30-bvh-pdr-va-tpb-duoc-them-moi-20210119192037877.htm
2021-02-01,remove,ROS,https://vietnambiz.vn/sab-eib-va-ros-roi-ro-vn30-bvh-pdr-va-tpb-duoc-them-moi-20210119192037877.htm
